Geographic Name,Kamala D. Harris,Donald J. Trump
Washington,2221254,1505207
Oregon,1216305,904547
California,8879703,5747743
Alaska,133995,178670
Hawaii,312384,193169
Idaho,274973,605144
Nevada,705190,751155
Arizona,1577729,1764862
Utah,556058,870806
Montana,231761,351945
Wyoming,69527,192633
Colorado,1727379,1376905
New Mexico,478727,423327
Texas,4806474,6375376
Oklahoma,499599,1036213
Kansas,532475,741949
Nebraska,362300,558389
South Dakota,146859,272081
North Dakota,111966,245943
Minnesota,1656968,1519017
Iowa,707290,927531
Missouri,1190949,1739297
Arkansas,395855,758057
Louisiana,766424,1208269
Mississippi,429231,708302
Tennessee,1055045,1964523
Kentucky,700920,1336227
Illinois,2985651,2423768
Wisconsin,1667881,1697298
Michigan,2724029,2804647
Indiana,1160146,1715058
Ohio,2476003,3116579
Alabama,769391,1457704
Georgia,2548014,2663110
Florida,4680890,6109549
South Carolina,1028452,1483747
North Carolina,2714346,2897782
Virginia,2235958,2011637
West Virginia,214309,533556
Maryland,1804200,1011578
District of Columbia,289244,20874
Delaware,289758,214351
Pennsylvania,3416992,3539563
New Jersey,2166111,1931744
New York,4386887,3465813
Connecticut,994494,739472
Rhode Island,282110,213021
Massachusetts,2072571,1234961
Vermont,235791,119393
New Hampshire,418493,395577
Maine,430795,374972