county,D20,R20,D24,R24
Alameda County,"617,659","136,309","499,551","140,789"
Alpine County,476,244,479,243
Amador County,"8,153","13,585","7,783","14,018"
Butte County,"50,815","48,819","44,228","47,179"
Calaveras County,"10,046","16,518","9,181","16,625"
Colusa County,"3,239","4,559","2,431","4,414"
Contra Costa County,"416,386","152,877","356,008","155,308"
Del Norte County,"4,677","6,461","4,266","5,999"
El Dorado County,"51,621","61,838","47,703","61,109"
Fresno County,"193,025","164,464","151,628","165,924"
Glenn County,"3,995","7,063","3,260","6,904"
Humboldt County,"44,768","21,770","39,800","21,559"
Imperial County,"34,678","20,847","26,083","26,546"
Inyo County,"4,634","4,620","4,201","4,468"
Kern County,"133,366","164,484","108,241","167,879"
Kings County,"18,699","24,072","15,519","25,074"
Lake County,"14,941","13,123","12,794","13,161"
Lassen County,"2,799","8,970","2,478","8,619"
Los Angeles County,"3,028,885","1,145,530","2,417,109","1,189,862"
Madera County,"23,168","29,378","20,981","32,344"
Marin County,"128,288","24,612","116,152","24,054"
Mariposa County,"4,088","5,950","3,622","5,625"
Mendocino County,"28,782","13,267","24,049","13,528"
Merced County,"48,991","39,397","40,190","43,955"
Modoc County,"1,150","3,109","1,008","2,884"
Mono County,"4,013","2,513","3,522","2,294"
Monterey County,"113,953","46,299","93,060","49,226"
Napa County,"49,817","20,676","43,212","20,357"
Nevada County,"36,359","26,779","33,784","26,177"
Orange County,"814,009","676,498","691,731","654,815"
Placer County,"106,869","122,488","103,958","123,941"
Plumas County,"4,561","6,445","4,020","5,725"
Riverside County,"528,340","449,144","451,782","463,677"
Sacramento County,"440,808","259,405","381,564","252,140"
San Benito County,"17,628","10,590","15,179","11,702"
San Bernardino County,"455,859","366,257","362,114","378,416"
San Diego County,"964,650","600,094","841,372","593,270"
San Francisco County,"378,156","56,417","323,719","62,594"
San Joaquin County,"161,137","121,098","126,647","128,996"
San Luis Obispo County,"88,310","67,436","81,314","64,932"
San Mateo County,"291,496","75,584","242,957","76,616"
Santa Barbara County,"129,963","65,736","114,149","64,870"
Santa Clara County,"617,967","214,612","510,744","210,924"
Santa Cruz County,"114,246","26,937","100,998","27,978"
Shasta County,"30,000","60,789","27,130","59,539"
Sierra County,730,"1,142",641,"1,066"
Siskiyou County,"9,593","13,290","8,329","12,461"
Solano County,"131,639","69,306","113,997","70,345"
Sonoma County,"199,938","61,825","179,600","63,426"
Stanislaus County,"105,841","104,145","85,347","106,986"
Sutter County,"17,367","24,375","13,016","25,372"
Tehama County,"8,911","19,141","7,415","18,503"
Trinity County,"2,851","3,188","2,449","2,979"
Tulare County,"66,105","77,579","53,221","81,854"
Tuolumne County,"11,978","17,689","10,909","17,210"
Ventura County,"251,388","162,207","217,424","158,901"
Yolo County,"67,598","27,292","61,405","27,844"
Yuba County,"11,230","17,676","10,725","18,491"